Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
1/1/2020,5,14.9,57,Dallas,32.774262,-96.797686
1/4/2020,5,7.2,30,Dallas,32.774262,-96.797686
1/7/2020,5,6.7,28,Dallas,32.774262,-96.797686
1/10/2020,5,6.7,28,Dallas,32.774262,-96.797686
1/13/2020,5,9.2,38,Dallas,32.774262,-96.797686
1/16/2020,5,8.3,35,Dallas,32.774262,-96.797686
1/19/2020,5,2.4,10,Dallas,32.774262,-96.797686
1/22/2020,5,6.8,28,Dallas,32.774262,-96.797686
1/25/2020,5,6,25,Dallas,32.774262,-96.797686
1/28/2020,5,6.6,28,Dallas,32.774262,-96.797686
1/31/2020,5,6.4,27,Dallas,32.774262,-96.797686
2/3/2020,5,7,29,Dallas,32.774262,-96.797686
2/6/2020,5,6.8,28,Dallas,32.774262,-96.797686
2/9/2020,5,6,25,Dallas,32.774262,-96.797686
2/12/2020,5,1.9,8,Dallas,32.774262,-96.797686
2/15/2020,5,8.8,37,Dallas,32.774262,-96.797686
2/18/2020,5,6.4,27,Dallas,32.774262,-96.797686
2/21/2020,5,7.7,32,Dallas,32.774262,-96.797686
2/24/2020,5,3.5,15,Dallas,32.774262,-96.797686
2/27/2020,5,4.7,20,Dallas,32.774262,-96.797686
3/1/2020,5,5.3,22,Dallas,32.774262,-96.797686
3/4/2020,5,7.9,33,Dallas,32.774262,-96.797686
3/7/2020,5,8.2,34,Dallas,32.774262,-96.797686
3/10/2020,5,6.3,26,Dallas,32.774262,-96.797686
3/13/2020,5,8.5,35,Dallas,32.774262,-96.797686
3/16/2020,5,9.7,40,Dallas,32.774262,-96.797686
3/19/2020,5,10.3,43,Dallas,32.774262,-96.797686
3/22/2020,5,5.9,25,Dallas,32.774262,-96.797686
3/25/2020,5,9,38,Dallas,32.774262,-96.797686
3/28/2020,5,8.5,35,Dallas,32.774262,-96.797686
3/31/2020,5,2.9,12,Dallas,32.774262,-96.797686
1/1/2020,1,13.9,55,Dallas,32.820061,-96.860117
1/4/2020,1,6,25,Dallas,32.820061,-96.860117
1/7/2020,1,5.1,21,Dallas,32.820061,-96.860117
1/10/2020,1,5.6,23,Dallas,32.820061,-96.860117
1/13/2020,1,8.5,35,Dallas,32.820061,-96.860117
1/16/2020,1,8.6,36,Dallas,32.820061,-96.860117
1/19/2020,1,3.2,13,Dallas,32.820061,-96.860117
1/22/2020,1,6.3,26,Dallas,32.820061,-96.860117
1/25/2020,1,4.4,18,Dallas,32.820061,-96.860117
1/28/2020,1,6,25,Dallas,32.820061,-96.860117
1/31/2020,1,4.1,17,Dallas,32.820061,-96.860117
2/3/2020,1,6,25,Dallas,32.820061,-96.860117
2/6/2020,1,5.1,21,Dallas,32.820061,-96.860117
2/9/2020,1,5.9,25,Dallas,32.820061,-96.860117
2/12/2020,1,2.6,11,Dallas,32.820061,-96.860117
2/15/2020,1,6.4,27,Dallas,32.820061,-96.860117
2/18/2020,1,5.8,24,Dallas,32.820061,-96.860117
2/21/2020,1,5.1,21,Dallas,32.820061,-96.860117
2/24/2020,1,2.9,12,Dallas,32.820061,-96.860117
2/27/2020,1,4.6,19,Dallas,32.820061,-96.860117
3/1/2020,1,5.2,22,Dallas,32.820061,-96.860117
3/4/2020,1,7.9,33,Dallas,32.820061,-96.860117
3/7/2020,1,6.8,28,Dallas,32.820061,-96.860117
3/10/2020,1,5.4,23,Dallas,32.820061,-96.860117
3/13/2020,1,7.6,32,Dallas,32.820061,-96.860117
3/16/2020,1,8.2,34,Dallas,32.820061,-96.860117
3/19/2020,1,9.7,40,Dallas,32.820061,-96.860117
3/22/2020,1,5.6,23,Dallas,32.820061,-96.860117
3/25/2020,1,10,42,Dallas,32.820061,-96.860117
3/28/2020,1,7.6,32,Dallas,32.820061,-96.860117
